,transaction_date,ticker,amount,sell_date,weight,gain,holding_time,type_y,party,name,region
40,2017-09-05,XOM,"$1,001 - $15,000",2018-01-04,8000.5,0.12490281616391713,121.0,sen,Republican,Shelley M Capito,SE
41,2017-09-05,CSCO,"$1,001 - $15,000",2018-01-04,8000.5,0.2330803492607396,121.0,sen,Republican,Shelley M Capito,SE
42,2017-09-08,FANUY,"$1,001 - $15,000",2018-03-28,8000.5,0.28483603153456943,201.0,sen,Republican,Shelley M Capito,SE
43,2017-09-08,HXL,"$1,001 - $15,000",2018-01-26,8000.5,0.268192106781762,140.0,sen,Republican,Shelley M Capito,SE
44,2017-09-08,OXY,"$1,001 - $15,000",2018-02-27,8000.5,0.108067698209581,172.0,sen,Republican,Shelley M Capito,SE
45,2017-09-08,CERN,"$1,001 - $15,000",2018-02-27,8000.5,-0.07786586633014454,172.0,sen,Republican,Shelley M Capito,SE
46,2017-09-08,RHHBY,"$1,001 - $15,000",2018-02-28,8000.5,-0.0819307698462534,173.0,sen,Republican,Shelley M Capito,SE
47,2017-09-08,FANUY,"$1,001 - $15,000",2018-03-28,8000.5,0.28483603153456943,201.0,sen,Republican,Shelley M Capito,SE
48,2017-09-08,CME,"$1,001 - $15,000",2018-04-24,32500.5,0.26210570585071624,228.0,sen,Republican,Shelley M Capito,SE
49,2016-06-24,BRK-B,"$1,001 - $15,000",2018-04-24,32500.5,0.4086321207815392,669.0,sen,Republican,Shelley M Capito,SE
50,2017-09-08,NSRGY,"$1,001 - $15,000",2018-04-24,8000.5,-0.10066956385905597,228.0,sen,Republican,Shelley M Capito,SE
51,2017-09-08,RCL,"$1,001 - $15,000",2018-05-17,8000.5,-0.08599402925971941,251.0,sen,Republican,Shelley M Capito,SE
52,2017-09-08,BNPQY,"$1,001 - $15,000",2018-05-18,8000.5,-0.041743674506029435,252.0,sen,Republican,Shelley M Capito,SE
53,2017-12-19,ENB,"$1,001 - $15,000",2019-03-11,8000.5,-0.060262684580057166,447.0,sen,Republican,Shelley M Capito,SE
54,2018-04-24,QCOM,"$1,001 - $15,000",2018-11-29,8000.5,0.16359635979791728,219.0,sen,Republican,Shelley M Capito,SE
55,2017-09-08,INCY,"$1,001 - $15,000",2018-11-12,8000.5,-0.5144446365642102,430.0,sen,Republican,Shelley M Capito,SE
56,2018-04-24,QCOM,"$1,001 - $15,000",2018-11-29,8000.5,0.16359635979791728,219.0,sen,Republican,Shelley M Capito,SE
57,2018-04-24,GIS,"$1,001 - $15,000",2018-12-12,8000.5,-0.1309442798840958,232.0,sen,Republican,Shelley M Capito,SE
58,2017-09-08,KYCCF,"$1,001 - $15,000",2019-03-11,8000.5,0.12530975270726594,549.0,sen,Republican,Shelley M Capito,SE
59,2017-09-08,LVS,"$1,001 - $15,000",2019-03-11,8000.5,-0.047053191639164924,549.0,sen,Republican,Shelley M Capito,SE
60,2018-04-24,MSFT,"$1,001 - $15,000",2019-03-11,8000.5,0.21166235505932807,321.0,sen,Republican,Shelley M Capito,SE
61,2018-04-04,MDLZ,"$1,001 - $15,000",2019-03-11,8000.5,0.12003801458743145,341.0,sen,Republican,Shelley M Capito,SE
62,2017-09-08,MRAAY,"$1,001 - $15,000",2019-03-11,8000.5,0.03155668178990334,549.0,sen,Republican,Shelley M Capito,SE
63,2017-09-08,MCO,"$1,001 - $15,000",2019-03-11,8000.5,0.2673807576701482,549.0,sen,Republican,Shelley M Capito,SE
64,2018-10-16,JPM,"$1,001 - $15,000",2019-03-11,8000.5,-0.039311399047035116,146.0,sen,Republican,Shelley M Capito,SE
65,2017-09-08,NVO,"$1,001 - $15,000",2019-03-11,8000.5,0.036898069892059265,549.0,sen,Republican,Shelley M Capito,SE
66,2017-09-08,RDS-B,"$1,001 - $15,000",2019-03-11,8000.5,0.07266791975203223,549.0,sen,Republican,Shelley M Capito,SE
67,2017-09-08,AVGO,"$1,001 - $15,000",2019-03-11,8000.5,0.10220800821703073,549.0,sen,Republican,Shelley M Capito,SE
68,2017-09-08,PDRDY,"$1,001 - $15,000",2019-03-11,8000.5,0.2603603053737331,549.0,sen,Republican,Shelley M Capito,SE
69,2017-09-05,PM,"$1,001 - $15,000",2019-03-11,8000.5,-0.2416078928152719,552.0,sen,Republican,Shelley M Capito,SE
70,2018-02-27,ICE,"$1,001 - $15,000",2019-03-11,8000.5,-0.011984165188079692,377.0,sen,Republican,Shelley M Capito,SE
71,2017-09-08,RBGLY,"$1,001 - $15,000",2019-03-11,8000.5,-0.14330706832393408,549.0,sen,Republican,Shelley M Capito,SE
72,2018-01-26,SLB,"$1,001 - $15,000",2019-03-11,8000.5,-0.4578018103321328,409.0,sen,Republican,Shelley M Capito,SE
