,Unnamed: 0,transaction_date,ticker,amount,sell_date,weight,gain,holding_time,type_y,party,name,region,sector
0,0,2021-03-16,AA,"$1,001 - $15,000",2021-04-19,75000.5,0.2205283950062098,34.0,sen,Republican,Thomas H Tuberville,SE,Basic Materials
1,1,2021-04-19,CLF,"$50,001 - $100,000",2021-07-19,75000.5,0.1075331170135942,91.0,sen,Republican,Thomas H Tuberville,SE,Basic Materials
2,2,2015-08-25,AEE,"$1,001 - $15,000",2016-06-24,8000.5,0.3022378757709367,304.0,sen,Democrat,Thomas R Carper,NE,Utilities
3,3,2017-06-28,QCOM,"$1,001 - $15,000",2019-04-17,8000.5,0.4081196945497988,658.0,sen,Democrat,Thomas R Carper,NE,Technology
4,4,2017-06-28,QCOM,"$1,001 - $15,000",2019-04-17,8000.5,0.4081196945497988,658.0,sen,Democrat,Thomas R Carper,NE,Technology
5,5,2019-07-16,CAG,"$1,001 - $15,000",2021-01-11,8000.5,0.1762615206842271,545.0,sen,Democrat,Thomas R Carper,NE,Consumer Defensive
6,6,2017-08-31,RMD,"$1,001 - $15,000",2020-07-09,8000.5,1.4966485933218117,1043.0,sen,Democrat,Thomas R Carper,NE,Healthcare
7,7,2019-11-04,DRI,"$1,001 - $15,000",2020-04-02,8000.5,-0.6006308914640035,150.0,sen,Democrat,Thomas R Carper,NE,Consumer Cyclical
8,8,2020-04-02,QCOM,"$1,001 - $15,000",2020-07-09,8000.5,0.3709203852115362,98.0,sen,Democrat,Thomas R Carper,NE,Technology
9,9,2017-08-31,RMD,"$1,001 - $15,000",2020-07-09,8000.5,1.4966485933218117,1043.0,sen,Democrat,Thomas R Carper,NE,Healthcare
10,10,2020-04-02,ARCC,"$1,001 - $15,000",2020-07-09,8000.5,0.4300518897674992,98.0,sen,Democrat,Thomas R Carper,NE,Financial Services
11,11,2020-04-02,GLAD,"$1,001 - $15,000",2020-07-09,8000.5,0.3737374652029273,98.0,sen,Democrat,Thomas R Carper,NE,Financial Services
