,transaction_date,owner,ticker,type,amount,comment,senator,transaction_year,transaction_month,transaction_day,amount_lower,amount_upper
5,2021-08-18,Joint,SSYS,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,8,18,1001,15000
6,2021-08-12,Joint,SSBK,Purchase,"$50,001 - $100,000",--,Thomas H Tuberville,2021,8,12,50001,100000
19,2021-08-23,Spouse,LMRK,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,8,23,1001,15000
22,2021-08-11,Spouse,WW,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,8,11,1001,15000
23,2021-08-04,Spouse,ARE,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,2021,8,4,1001,15000
24,2021-08-04,Spouse,COR,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,8,4,1001,15000
40,2021-07-21,Joint,CLF,Purchase,"$100,001 - $250,000",--,Thomas H Tuberville,2021,7,21,100001,250000
43,2021-07-19,Joint,CLF,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,7,19,50001,100000
44,2021-07-19,Joint,AA,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,7,19,50001,100000
49,2021-07-16,Joint,CRWD,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
50,2021-07-16,Joint,NWL,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
51,2021-07-16,Joint,PEGA,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
52,2021-07-16,Joint,PEP,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
53,2021-07-16,Self,XLY,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
55,2021-07-16,Self,MTUM,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
56,2021-07-16,Self,SQ,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
57,2021-07-16,Self,DTD,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
58,2021-07-26,Spouse,RDSA,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
59,2021-07-26,Spouse,MSFT,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
60,2021-07-26,Spouse,IBM,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
61,2021-07-26,Spouse,INTC,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
62,2021-07-26,Spouse,C,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
65,2021-07-30,Spouse,PINS,Purchase,"$15,001 - $50,000",--,John W Hickenlooper,2021,7,30,15001,50000
66,2021-07-27,Spouse,SNAP,Sale (Partial),"$15,001 - $50,000",--,John W Hickenlooper,2021,7,27,15001,50000
67,2021-07-21,Self,O,Purchase,"$15,001 - $50,000",--,Gary C Peters,2021,7,21,15001,50000
87,2021-07-08,Spouse,JCI,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,7,8,1001,15000
88,2021-07-08,Spouse,FAST,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,7,8,1001,15000
89,2021-06-24,Spouse,TMO,Purchase,"$1,001 - $15,000",--,"Angus S King, Jr.",2021,6,24,1001,15000
90,2021-06-24,Spouse,ADBE,Purchase,"$1,001 - $15,000",--,"Angus S King, Jr.",2021,6,24,1001,15000
92,2021-03-29,Joint,ALGN,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
96,2021-01-21,Joint,CLF,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,1,21,15001,50000
97,2021-01-15,Joint,SDOG,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,1,15,15001,50000
99,2021-01-13,Joint,TDY,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,1,13,50001,100000
103,2021-01-06,Joint,AA,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,1,6,15001,50000
104,2021-01-06,Joint,AA,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,1,6,15001,50000
110,2021-01-04,Joint,WY,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,1,4,50001,100000
111,2021-01-04,Joint,ONEQ,Sale (Full),"$100,001 - $250,000",--,Thomas H Tuberville,2021,1,4,100001,250000
112,2021-01-04,Joint,DG,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,1,4,50001,100000
119,2021-02-16,Joint,OXY,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,2,16,15001,50000
126,2021-02-10,Joint,ECOM,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,2,10,1001,15000
127,2021-02-10,Joint,ECOM,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,2,10,15001,50000
128,2021-02-10,Joint,ECOM,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,2,10,15001,50000
134,2021-02-03,Joint,BRK-B,Purchase,"$50,001 - $100,000",--,Thomas H Tuberville,2021,2,3,50001,100000
136,2021-03-29,Joint,WST,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
137,2021-03-29,Joint,WAL,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
138,2021-03-29,Joint,WAT,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
139,2021-03-29,Joint,VMW,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
140,2021-03-29,Joint,MMM,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
141,2021-03-29,Joint,TER,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
142,2021-03-29,Joint,SNA,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
143,2021-03-29,Joint,SIVB,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
144,2021-03-29,Joint,SWKS,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
145,2021-03-29,Joint,SEIC,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
146,2021-03-29,Joint,ROK,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
147,2021-03-29,Joint,REGN,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
148,2021-03-29,Joint,DGX,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
149,2021-03-29,Joint,QCOM,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
150,2021-03-29,Joint,PYPL,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
151,2021-03-29,Joint,ODFL,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
152,2021-03-29,Joint,NDSN,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
153,2021-03-29,Joint,NTES,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
154,2021-03-29,Joint,MRK,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
155,2021-03-29,Joint,JNJ,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
156,2021-03-29,Joint,INTU,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
157,2021-03-29,Joint,IDXX,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
158,2021-03-29,Joint,IEX,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
159,2021-03-29,Joint,IEX,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
160,2021-03-29,Joint,HON,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
161,2021-03-29,Joint,HSY,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
162,2021-03-29,Joint,GGG,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
163,2021-03-29,Joint,GNTX,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
164,2021-03-29,Joint,FTNT,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
165,2021-03-29,Joint,EA,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
166,2021-03-29,Joint,EBAY,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
167,2021-03-29,Joint,EW,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
168,2021-03-29,Joint,DECK,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
169,2021-03-29,Joint,CNR,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
170,2021-03-29,Joint,CL,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
171,2021-03-29,Joint,CLX,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
172,2021-03-29,Joint,CHE,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
173,2021-03-29,Joint,CE,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
174,2021-03-29,Joint,BIO,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
175,2021-03-29,Joint,BHP,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
176,2021-03-29,Joint,ATHM,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
177,2021-03-29,Joint,AME,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
178,2021-03-29,Joint,GOOGL,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
181,2021-03-16,Joint,AA,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,16,1001,15000
182,2021-03-16,Joint,AA,Purchase,"$100,001 - $250,000",--,Thomas H Tuberville,2021,3,16,100001,250000
185,2021-03-12,Joint,CLF,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,3,12,15001,50000
198,2021-04-19,Joint,CLF,Purchase,"$50,001 - $100,000",--,Thomas H Tuberville,2021,4,19,50001,100000
199,2021-04-19,Joint,AA,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,4,19,50001,100000
201,2021-04-16,Joint,ECOM,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,4,16,15001,50000
203,2021-04-14,Joint,FCX,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,2021,4,14,15001,50000
210,2021-04-07,Joint,OXY,Purchase,"$50,001 - $100,000",--,Thomas H Tuberville,2021,4,7,50001,100000
215,2021-05-24,Joint,FCX,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,5,24,1001,15000
216,2021-05-18,Joint,FDSWX,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,5,18,1001,15000
217,2021-05-10,Joint,FCX,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,2021,5,10,1001,15000
223,2021-05-06,Joint,X,Purchase,"$100,001 - $250,000","The filer’s financial advisors actively manage his accounts without the filer’s day to day involvement.  The filer was unaware that the specific transactions in this report occurred.  Upon becoming aware of the transactions, the filer expeditiously prepared and submitted this report to the Committee.",Thomas H Tuberville,2021,5,6,100001,250000
225,2021-06-24,Spouse,USB,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2021,6,24,1001,15000
226,2021-06-23,Spouse,JPM,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2021,6,23,1001,15000
227,2021-06-23,Spouse,AAPL,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2021,6,23,1001,15000
252,2021-06-28,Self,OGN,Sale (Full),"$1,001 - $15,000",--,John W Hickenlooper,2021,6,28,1001,15000
253,2021-06-02,Self,MRK,Exchange,"$1,001 - $15,000",--,John W Hickenlooper,2021,6,2,1001,15000
254,2021-06-03,Spouse,NOK,Purchase,"$1,001 - $15,000",--,John W Hickenlooper,2021,6,3,1001,15000
255,2021-06-08,Self,BA,Purchase,"$1,001 - $15,000",Asset owned by Roundstone Ventures LLC,"William F Hagerty, Iv",2021,6,8,1001,15000
263,2021-05-10,Spouse,WFC,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,5,10,1001,15000
264,2021-05-25,Spouse,T,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2021,5,25,1001,15000
265,2021-05-17,Self,FL4.SG,Exchange,"$15,001 - $50,000","FLIR Systems Merger With TeledyneAsset Held in Roundstone Ventures, LLC","William F Hagerty, Iv",2021,5,17,15001,50000
266,2021-06-03,Spouse,WFC,Purchase,"$1,001 - $15,000",Dividend Reinvestment,"A. Mitchell Mcconnell, Jr.",2021,6,3,1001,15000
267,2021-05-19,Spouse,CMG,Sale (Partial),"$100,001 - $250,000",--,John W Hickenlooper,2021,5,19,100001,250000
268,2021-05-10,Spouse,QRTEA,Sale (Full),"$100,001 - $250,000",--,John W Hickenlooper,2021,5,10,100001,250000
269,2021-05-10,Spouse,TTD,Purchase,"$15,001 - $50,000",--,John W Hickenlooper,2021,5,10,15001,50000
270,2021-05-04,Spouse,PTON,Purchase,"$1,001 - $15,000",--,John W Hickenlooper,2021,5,4,1001,15000
275,2021-04-26,Spouse,WFC,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,4,26,1001,15000
276,2020-04-01,Joint,VZ,Exchange,"$1,001 - $15,000",Exchange occurred as a result of the Sprint/T-Mobile merger.,"Jerry Moran,",2020,4,1,1001,15000
281,2021-04-22,Self,IWM,Sale (Full),"$1,001 - $15,000",--,John Boozman,2021,4,22,1001,15000
283,2021-04-20,Self,NTRA,Sale (Partial),"$1,001 - $15,000","Asset held by Roundstone Ventures, LLC","William F Hagerty, Iv",2021,4,20,1001,15000
285,2021-04-13,Spouse,NUAN,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,4,13,1001,15000
286,2021-04-13,Spouse,GAN,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,4,13,1001,15000
287,2021-04-13,Spouse,TRIT,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,4,13,1001,15000
290,2021-04-05,Spouse,CWEN,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,4,5,1001,15000
293,2021-04-16,Spouse,AMAT,Sale (Full),"$50,001 - $100,000",--,Ron L Wyden,2021,4,16,50001,100000
294,2021-04-16,Spouse,KLAC,Sale (Full),"$50,001 - $100,000",--,Ron L Wyden,2021,4,16,50001,100000
295,2021-04-01,Spouse,MTCH,Purchase,"$15,001 - $50,000",--,Ron L Wyden,2021,4,1,15001,50000
299,2021-04-15,Self,VPU,Purchase,"$1,001 - $15,000",--,Gary C Peters,2021,4,15,1001,15000
301,2021-04-05,Joint,VZ,Sale (Full),"$15,001 - $50,000",--,Ladda Tammy Duckworth,2021,4,5,15001,50000
302,2021-04-05,Joint,ITW,Sale (Partial),"$1,001 - $15,000",--,Ladda Tammy Duckworth,2021,4,5,1001,15000
303,2021-04-05,Joint,DIS,Sale (Full),"$1,001 - $15,000",--,Ladda Tammy Duckworth,2021,4,5,1001,15000
304,2021-03-05,Joint,RPM,Sale (Partial),"$15,001 - $50,000","The filer's portfolio is managed by a third party investment professional. The filer was advised of these transactions on April 13, 2021. This activity is part of an ongoing long-term portfolio diversification strategy that regularly includes similar transactions",Daniel S Sullivan,2021,3,5,15001,50000
305,2021-03-03,Spouse,UBSI,Purchase,"$100,001 - $250,000",--,Shelley M Capito,2021,3,3,100001,250000
306,2021-03-09,Spouse,USB,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2021,3,9,1001,15000
307,2021-03-09,Spouse,JPM,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2021,3,9,1001,15000
308,2021-03-09,Spouse,BLK,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2021,3,9,1001,15000
309,2021-03-24,Spouse,WFC,Purchase,"$15,001 - $50,000",--,Shelley M Capito,2021,3,24,15001,50000
310,2021-03-25,Spouse,C,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,3,25,1001,15000
312,2021-04-06,Spouse,AMAT,Sale (Partial),"$100,001 - $250,000",--,Ron L Wyden,2021,4,6,100001,250000
313,2021-04-06,Spouse,KLAC,Sale (Partial),"$100,001 - $250,000",--,Ron L Wyden,2021,4,6,100001,250000
314,2021-04-06,Spouse,STZ,Sale (Full),"$100,001 - $250,000",--,Ron L Wyden,2021,4,6,100001,250000
315,2021-04-06,Spouse,AVGO,Sale (Full),"$100,001 - $250,000",--,Ron L Wyden,2021,4,6,100001,250000
316,2021-04-06,Spouse,INTC,Sale (Full),"$15,001 - $50,000",--,Ron L Wyden,2021,4,6,15001,50000
317,2021-04-06,Child,KLAC,Sale (Full),"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #3,Ron L Wyden,2021,4,6,1001,15000
318,2021-04-06,Child,KLAC,Sale (Full),"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #2,Ron L Wyden,2021,4,6,1001,15000
319,2021-04-06,Child,KLAC,Sale (Full),"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #1,Ron L Wyden,2021,4,6,1001,15000
322,2021-03-26,Self,QRTEP,Purchase,"$15,001 - $50,000","Asset held by Roundstone Ventures, LLC","William F Hagerty, Iv",2021,3,26,15001,50000
328,2021-02-12,Spouse,CARG,Purchase,"$1,001 - $15,000",--,John W Hickenlooper,2021,2,12,1001,15000
329,2021-02-18,Spouse,DGNR,Purchase,"$1,001 - $15,000",--,John W Hickenlooper,2021,2,18,1001,15000
330,2021-02-26,Spouse,STX,Purchase,"$1,001 - $15,000",--,Ron L Wyden,2021,2,26,1001,15000
331,2021-02-26,Spouse,AMAT,Purchase,"$1,001 - $15,000",--,Ron L Wyden,2021,2,26,1001,15000
332,2021-02-26,Spouse,KLAC,Purchase,"$1,001 - $15,000",--,Ron L Wyden,2021,2,26,1001,15000
333,2021-03-03,Spouse,WFC,Purchase,"$1,001 - $15,000",Dividend Reinvestment,"A. Mitchell Mcconnell, Jr.",2021,3,3,1001,15000
337,2021-02-09,Child,PENN,Purchase,"$1,001 - $15,000",Child #2,Patrick J Toomey,2021,2,9,1001,15000
339,2021-02-05,Spouse,DD,Exchange,"$1,001 - $15,000",--,Thomas R Carper,2021,2,5,1001,15000
340,2021-02-16,Spouse,INTC,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,2,16,1001,15000
352,2021-02-16,Self,CTAA,Sale (Full),"$15,001 - $50,000",--,"William F Hagerty, Iv",2021,2,16,15001,50000
354,2021-01-08,Self,LMND,Sale (Partial),"$1,001 - $15,000",--,"William F Hagerty, Iv",2021,1,8,1001,15000
356,2021-01-08,Self,VRM,Purchase,"$1,001 - $15,000",--,"William F Hagerty, Iv",2021,1,8,1001,15000
357,2021-01-22,Spouse,LMACU,Purchase,"$50,001 - $100,000",--,John W Hickenlooper,2021,1,22,50001,100000
358,2021-01-20,Child,AAPL,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #3,Ron L Wyden,2021,1,20,1001,15000
359,2021-01-20,Child,AAPL,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #2,Ron L Wyden,2021,1,20,1001,15000
360,2021-01-20,Child,AAPL,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #1,Ron L Wyden,2021,1,20,1001,15000
361,2021-01-27,Child,AAPL,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #3,Ron L Wyden,2021,1,27,1001,15000
362,2021-01-27,Child,DIS,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #3,Ron L Wyden,2021,1,27,1001,15000
363,2021-01-27,Child,KLAC,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #3,Ron L Wyden,2021,1,27,1001,15000
364,2021-01-27,Child,AAPL,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #2,Ron L Wyden,2021,1,27,1001,15000
365,2021-01-27,Child,DIS,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #2,Ron L Wyden,2021,1,27,1001,15000
366,2021-01-27,Child,KLAC,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #2,Ron L Wyden,2021,1,27,1001,15000
367,2021-01-27,Child,AAPL,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #1,Ron L Wyden,2021,1,27,1001,15000
368,2021-01-27,Child,DIS,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #1,Ron L Wyden,2021,1,27,1001,15000
369,2021-01-27,Child,KLAC,Purchase,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #1,Ron L Wyden,2021,1,27,1001,15000
370,2021-01-27,Spouse,COST,Sale (Full),"$1,001 - $15,000",--,"Jerry Moran,",2021,1,27,1001,15000
371,2021-01-27,Self,COST,Sale (Full),"$1,001 - $15,000",--,"Jerry Moran,",2021,1,27,1001,15000
372,2021-01-28,Child,GME,Sale (Full),"$1,001 - $15,000",Child #2,Patrick J Toomey,2021,1,28,1001,15000
373,2021-01-27,Child,SHOP,Sale (Full),"$1,001 - $15,000",Child #2,Patrick J Toomey,2021,1,27,1001,15000
374,2021-01-27,Child,GME,Purchase,"$1,001 - $15,000",Child #2,Patrick J Toomey,2021,1,27,1001,15000
375,2021-01-27,Child,TSLA,Sale (Full),"$1,001 - $15,000",Child #2,Patrick J Toomey,2021,1,27,1001,15000
376,2021-01-15,Self,STAG,Purchase,"$1,001 - $15,000",--,Gary C Peters,2021,1,15,1001,15000
377,2021-01-15,Self,AEP,Purchase,"$1,001 - $15,000",--,Gary C Peters,2021,1,15,1001,15000
379,2021-01-27,Spouse,DD,Sale (Partial),"$15,001 - $50,000",--,Thomas R Carper,2021,1,27,15001,50000
380,2021-01-26,Spouse,PBA,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,1,26,1001,15000
381,2021-01-26,Spouse,AQN,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,1,26,1001,15000
382,2021-01-25,Spouse,VIAV,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,1,25,1001,15000
383,2021-01-25,Spouse,EVOP,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,1,25,1001,15000
388,2021-01-11,Spouse,FEYE,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,1,11,1001,15000
391,2021-01-11,Spouse,DDOG,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,1,11,1001,15000
396,2021-01-11,Spouse,CAG,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,1,11,1001,15000
397,2021-01-08,Spouse,AJRD,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,1,8,1001,15000
405,2021-01-05,Self,CRSP,Sale (Partial),"$1,001 - $15,000",--,James M Inhofe,2021,1,5,1001,15000
407,2020-12-31,Spouse,UNH,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2020,12,31,1001,15000
408,2020-12-31,Spouse,PSX,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2020,12,31,1001,15000
409,2020-12-31,Spouse,AMT,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2020,12,31,1001,15000
410,2020-12-31,Spouse,SYY,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2020,12,31,1001,15000
411,2020-12-31,Spouse,PII,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2020,12,31,1001,15000
412,2020-12-31,Spouse,OTIS,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2020,12,31,1001,15000
413,2020-12-31,Spouse,XOM,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2020,12,31,1001,15000
414,2020-12-31,Spouse,CLX,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2020,12,31,1001,15000
415,2020-12-31,Self,CARR,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2020,12,31,1001,15000
416,2020-12-15,Spouse,WFC,Sale (Full),"$15,001 - $50,000",--,Shelley M Capito,2020,12,15,15001,50000
417,2020-12-16,Spouse,DNKN,Sale (Full),"$50,001 - $100,000",--,Susan M Collins,2020,12,16,50001,100000
419,2020-12-30,Spouse,TSLA,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2020,12,30,1001,15000
420,2020-12-30,Spouse,PBA,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2020,12,30,1001,15000
421,2020-12-30,Spouse,DD,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,2020,12,30,1001,15000
422,2020-12-30,Spouse,DOW,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,2020,12,30,1001,15000
423,2020-12-30,Spouse,VTRS,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2020,12,30,1001,15000
424,2020-12-30,Spouse,NTAP,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2020,12,30,1001,15000
426,2020-12-30,Spouse,BMY,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2020,12,30,1001,15000
428,2020-12-14,Self,AEP,Purchase,"$1,001 - $15,000",--,Gary C Peters,2020,12,14,1001,15000
429,2020-12-22,Spouse,BA,Purchase,"$15,001 - $50,000",R,Pat Roberts,2020,12,22,15001,50000
430,2020-12-22,Spouse,PLUG,Purchase,"$1,001 - $15,000",R,Pat Roberts,2020,12,22,1001,15000
431,2020-12-22,Spouse,SQ,Purchase,"$15,001 - $50,000",R,Pat Roberts,2020,12,22,15001,50000
432,2020-12-21,Spouse,BA,Purchase,"$15,001 - $50,000",R,Pat Roberts,2020,12,21,15001,50000
433,2020-12-21,Spouse,NVDA,Purchase,"$50,001 - $100,000",R,Pat Roberts,2020,12,21,50001,100000
434,2020-12-21,Spouse,EXPI,Purchase,"$1,001 - $15,000",R,Pat Roberts,2020,12,21,1001,15000
435,2020-12-21,Spouse,ETY,Sale (Partial),"$100,001 - $250,000",R,Pat Roberts,2020,12,21,100001,250000
436,2020-12-21,Spouse,W,Sale (Full),"$50,001 - $100,000",R,Pat Roberts,2020,12,21,50001,100000
437,2020-12-21,Spouse,TSLA,Sale (Full),"$1,001 - $15,000",R,Pat Roberts,2020,12,21,1001,15000
438,2020-12-11,Spouse,TSLA,Purchase,"$1,001 - $15,000",R,Pat Roberts,2020,12,11,1001,15000
439,2020-12-07,Spouse,BA,Purchase,"$15,001 - $50,000",R,Pat Roberts,2020,12,7,15001,50000
440,2020-12-07,Spouse,TSLA,Purchase,"$1,001 - $15,000",R,Pat Roberts,2020,12,7,1001,15000
441,2020-12-04,Spouse,BA,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,2020,12,4,15001,50000
442,2020-12-22,Spouse,COST,Purchase,"$15,001 - $50,000",555,Pat Roberts,2020,12,22,15001,50000
