,transaction_date,owner,ticker,type,amount,comment,senator,transaction_year,transaction_month,transaction_day,amount_lower,amount_upper
4185,2018-02-05,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,2,5,1001,15000
4186,2018-02-02,Joint,CBS,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,2,2,1001,15000
4187,2018-02-02,Joint,DVN,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,2,2,1001,15000
4188,2018-02-20,Spouse,WMT,Purchase,"$1,001 - $15,000",555,Pat Roberts,2018,2,20,1001,15000
4189,2018-02-20,Spouse,FB,Purchase,"$15,001 - $50,000",555,Pat Roberts,2018,2,20,15001,50000
4190,2018-02-14,Spouse,WMT,Purchase,"$1,001 - $15,000",555,Pat Roberts,2018,2,14,1001,15000
4191,2018-02-05,Spouse,FB,Sale (Full),"$15,001 - $50,000",555,Pat Roberts,2018,2,5,15001,50000
4192,2018-02-05,Spouse,AMZN,Sale (Full),"$1,001 - $15,000",555,Pat Roberts,2018,2,5,1001,15000
4193,2018-02-05,Spouse,FB,Purchase,"$15,001 - $50,000",555,Pat Roberts,2018,2,5,15001,50000
4194,2018-02-05,Spouse,ETY,Purchase,"$1,001 - $15,000",sep,Pat Roberts,2018,2,5,1001,15000
4195,2018-02-05,Spouse,NFLX,Purchase,"$50,001 - $100,000",sep,Pat Roberts,2018,2,5,50001,100000
4196,2018-02-05,Spouse,BA,Purchase,"$50,001 - $100,000",sep,Pat Roberts,2018,2,5,50001,100000
4197,2018-02-05,Spouse,BAC,Purchase,"$1,001 - $15,000",sep,Pat Roberts,2018,2,5,1001,15000
4198,2018-02-05,Spouse,BAC,Sale (Full),"$15,001 - $50,000",sep,Pat Roberts,2018,2,5,15001,50000
4199,2018-02-05,Spouse,RTN,Sale (Full),"$15,001 - $50,000",sep,Pat Roberts,2018,2,5,15001,50000
4200,2018-02-05,Spouse,NFLX,Sale (Full),"$50,001 - $100,000",sep,Pat Roberts,2018,2,5,50001,100000
4201,2018-02-05,Spouse,BA,Sale (Full),"$15,001 - $50,000",sep,Pat Roberts,2018,2,5,15001,50000
4202,2018-02-05,Spouse,ETY,Purchase,"$15,001 - $50,000",R,Pat Roberts,2018,2,5,15001,50000
4203,2018-02-05,Spouse,AAPL,Purchase,"$15,001 - $50,000",R,Pat Roberts,2018,2,5,15001,50000
4204,2018-02-05,Spouse,AMZN,Purchase,"$15,001 - $50,000",R,Pat Roberts,2018,2,5,15001,50000
4205,2018-02-05,Spouse,NVDA,Purchase,"$15,001 - $50,000",R,Pat Roberts,2018,2,5,15001,50000
4206,2018-02-05,Spouse,NOC,Purchase,"$50,001 - $100,000",R,Pat Roberts,2018,2,5,50001,100000
4207,2018-02-05,Spouse,LMT,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,2018,2,5,15001,50000
4208,2018-02-05,Spouse,AAPL,Sale (Full),"$50,001 - $100,000",R,Pat Roberts,2018,2,5,50001,100000
4209,2018-02-05,Spouse,NVDA,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,2018,2,5,15001,50000
4210,2018-02-05,Spouse,NOC,Sale (Full),"$50,001 - $100,000",R,Pat Roberts,2018,2,5,50001,100000
4211,2018-02-05,Spouse,COST,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,2018,2,5,15001,50000
4212,2018-02-05,Spouse,AMZN,Sale (Full),"$1,001 - $15,000",R,Pat Roberts,2018,2,5,1001,15000
4220,2018-02-22,Self,XPO,Purchase,"$50,001 - $100,000",--,James M Inhofe,2018,2,22,50001,100000
4221,2018-02-22,Self,GILD,Sale (Partial),"$50,001 - $100,000",--,James M Inhofe,2018,2,22,50001,100000
4222,2018-02-22,Self,CELG,Purchase,"$50,001 - $100,000",--,James M Inhofe,2018,2,22,50001,100000
4223,2018-02-22,Self,AGN,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,2018,2,22,50001,100000
4224,2018-02-09,Self,MSFT,Purchase,"$15,001 - $50,000",--,James M Inhofe,2018,2,9,15001,50000
4225,2018-02-09,Self,KMX,Purchase,"$15,001 - $50,000",--,James M Inhofe,2018,2,9,15001,50000
4226,2018-01-25,Self,KMX,Purchase,"$50,001 - $100,000",--,James M Inhofe,2018,1,25,50001,100000
4227,2018-01-25,Self,BUD,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,2018,1,25,50001,100000
4228,2018-02-20,Self,WTW,Purchase,"$100,001 - $250,000",--,John Hoeven,2018,2,20,100001,250000
4229,2018-02-20,Self,WMT,Purchase,"$100,001 - $250,000",--,John Hoeven,2018,2,20,100001,250000
4232,2018-02-05,Self,WTW,Sale (Full),"$250,001 - $500,000",--,John Hoeven,2018,2,5,250001,500000
4233,2018-01-31,Spouse,AAPL,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,2018,1,31,1001,15000
4234,2018-01-31,Spouse,IHE,Sale (Full),"$1,001 - $15,000",--,William Cassidy,2018,1,31,1001,15000
4235,2018-01-08,Spouse,C,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,2018,1,8,1001,15000
4236,2018-01-08,Spouse,WMT,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,2018,1,8,1001,15000
4237,2018-01-08,Joint,BIIB,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,2018,1,8,1001,15000
4238,2018-01-17,Joint,V,Sale (Partial),"$1,001 - $15,000",--,Sheldon Whitehouse,2018,1,17,1001,15000
4239,2018-01-17,Joint,COST,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,2018,1,17,15001,50000
4240,2018-01-31,Joint,GE,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,2018,1,31,15001,50000
4241,2018-01-17,Self,V,Sale (Partial),"$1,001 - $15,000",--,Sheldon Whitehouse,2018,1,17,1001,15000
4242,2018-01-17,Self,USB,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,2018,1,17,1001,15000
4243,2018-01-04,Spouse,GWW,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4244,2018-01-04,Spouse,GE,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4245,2018-01-04,Spouse,RDS-A,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4246,2018-01-04,Spouse,PG,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4247,2018-01-04,Spouse,NSC,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4248,2018-01-04,Spouse,MSFT,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4249,2018-01-04,Spouse,MRK,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4250,2018-01-04,Spouse,IBM,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
