,last_name,first_name,middle_name,gender,type,party,state,district,senate_class,name
6563,Ketcham,John,Henry,M,rep,Republican,NY,21.0,,John Henry Ketcham
6564,Klepper,Frank,B.,M,rep,Republican,MO,3.0,,Frank B. Klepper
6565,Kline,Marcus,Charles Lawrence,M,rep,Democrat,PA,13.0,,Marcus Charles Lawrence Kline
6566,Lacey,John,Fletcher,M,rep,Republican,IA,6.0,,John Fletcher Lacey
6567,Landis,Frederick,,M,rep,Republican,IN,11.0,,Frederick Landis
6568,Le Fevre,Frank,Jacob,M,rep,Republican,NY,24.0,,Frank Jacob Le Fevre
6569,Lester,Rufus,Ezekiel,M,rep,Democrat,GA,1.0,,Rufus Ezekiel Lester
6570,Lilley,Mial,Eben,M,rep,Republican,PA,14.0,,Mial Eben Lilley
6571,Littauer,Lucius,Nathan,M,rep,Republican,NY,25.0,,Lucius Nathan Littauer
6572,Little,John,Sebastian,M,rep,Democrat,AR,4.0,,John Sebastian Little
6573,Mahon,Thaddeus,Maclay,M,rep,Republican,PA,17.0,,Thaddeus Maclay Mahon
6574,Marsh,Benjamin,Franklin,M,rep,Republican,IL,14.0,,Benjamin Franklin Marsh
6575,McCarthy,John,Jay,M,rep,Republican,NE,3.0,,John Jay McCarthy
6576,McCleary,James,Thompson,M,rep,Republican,MN,2.0,,James Thompson McCleary
6577,McDermott,Allan,Langdon,M,rep,Democrat,NJ,10.0,,Allan Langdon McDermott
6578,McNary,William,Sarsfield,M,rep,Democrat,MA,10.0,,William Sarsfield McNary
6579,Michalek,Anthony,,M,rep,Republican,IL,5.0,,Anthony Michalek
6580,Minor,Edward,Sloman,M,rep,Republican,WI,9.0,,Edward Sloman Minor
6582,Morrell,Edward,de Veaux,M,rep,Republican,PA,5.0,,Edward de Veaux Morrell
6583,Nevin,Robert,Murphy,M,rep,Republican,OH,3.0,,Robert Murphy Nevin
6584,Otjen,Theobald,,M,rep,Republican,WI,4.0,,Theobald Otjen
6585,Patterson,George,Robert,M,rep,Republican,PA,12.0,,George Robert Patterson
6586,Patterson,Gilbert,Brown,M,rep,Democrat,NC,6.0,,Gilbert Brown Patterson
6587,Patterson,Malcolm,Rice,M,rep,Democrat,TN,10.0,,Malcolm Rice Patterson
6589,Pinckney,John,McPherson,M,rep,Democrat,TX,8.0,,John McPherson Pinckney
6591,Richardson,James,Montgomery,M,rep,Democrat,KY,3.0,,James Montgomery Richardson
6592,Rives,Zeno,John,M,rep,Republican,IL,21.0,,Zeno John Rives
6593,Robertson,Samuel,Matthews,M,rep,Democrat,LA,6.0,,Samuel Matthews Robertson
6594,Ruppert,Jacob,,M,rep,Democrat,NY,16.0,,Jacob Ruppert
6595,Samuel,Edmund,William,M,rep,Republican,PA,16.0,,Edmund William Samuel
6596,Schneebeli,Gustav,Adolphus,M,rep,Republican,PA,26.0,,Gustav Adolphus Schneebeli
6598,Scroggy,Thomas,Edmund,M,rep,Republican,OH,6.0,,Thomas Edmund Scroggy
6599,Shartel,Cassius,McLean,M,rep,Republican,MO,15.0,,Cassius McLean Shartel
6600,Sibley,Joseph,Crocker,M,rep,Republican,PA,28.0,,Joseph Crocker Sibley
6601,Smith,David,Highbaugh,M,rep,Democrat,KY,4.0,,David Highbaugh Smith
6602,Smith,Thomas,Alexander,M,rep,Democrat,MD,1.0,,Thomas Alexander Smith
6603,Smith,William,Orlando,M,rep,Republican,PA,27.0,,William Orlando Smith
6604,Smyser,Martin,Luther,M,rep,Republican,OH,17.0,,Martin Luther Smyser
6605,Southall,Robert,Goode,M,rep,Democrat,VA,4.0,,Robert Goode Southall
6606,Southard,James,Harding,M,rep,Republican,OH,9.0,,James Harding Southard
6607,Sullivan,John,Andrew,M,rep,Democrat,MA,11.0,,John Andrew Sullivan
6609,Towne,Charles,Arnette,M,rep,Democrat,NY,14.0,,Charles Arnette Towne
6610,Trimble,South,,M,rep,Democrat,KY,7.0,,South Trimble
6611,Tyndall,William,Thomas,M,rep,Republican,MO,14.0,,William Thomas Tyndall
6612,Van Duzer,Clarence,Dunn,M,rep,Democrat,NV,0.0,,Clarence Dunn Van Duzer
6613,Van Winkle,Marshall,,M,rep,Republican,NJ,9.0,,Marshall Van Winkle
6614,Wachter,Frank,Charles,M,rep,Republican,MD,3.0,,Frank Charles Wachter
6615,Wadsworth,James,Wolcott,M,rep,Republican,NY,34.0,,James Wolcott Wadsworth
6617,Waskey,Frank,Hinman,M,rep,Democrat,AK,0.0,,Frank Hinman Waskey
6618,Webber,Amos,Richard,M,rep,Republican,OH,14.0,,Amos Richard Webber
6619,Welborn,John,,M,rep,Republican,MO,7.0,,John Welborn
6620,Wharton,Charles,Stuart,M,rep,Republican,IL,4.0,,Charles Stuart Wharton
6621,Williamson,John,Newton,M,rep,Republican,OR,2.0,,John Newton Williamson
6622,Wood,Ernest,Edward,M,rep,Democrat,MO,12.0,,Ernest Edward Wood
6623,Zenor,William,Taylor,M,rep,Democrat,IN,3.0,,William Taylor Zenor
6626,Acheson,Ernest,Francis,M,rep,Republican,PA,24.0,,Ernest Francis Acheson
6628,Bannon,Henry,Towne,M,rep,Republican,OH,10.0,,Henry Towne Bannon
6629,Beale,Joseph,Grant,M,rep,Republican,PA,27.0,,Joseph Grant Beale
6630,Bede,James,Adam,M,rep,Republican,MN,8.0,,James Adam Bede
6631,Birdsall,Benjamin,Pixley,M,rep,Republican,IA,3.0,,Benjamin Pixley Birdsall
6632,Bonynge,Robert,William,M,rep,Republican,CO,1.0,,Robert William Bonynge
6634,Boyd,John,Frank,M,rep,Republican,NE,3.0,,John Frank Boyd
6635,Brick,Abraham,Lincoln,M,rep,Republican,IN,13.0,,Abraham Lincoln Brick
6637,Brodhead,Joseph,Davis,M,rep,Democrat,PA,26.0,,Joseph Davis Brodhead
6639,Brumm,Charles,Napoleon,M,rep,Republican,PA,12.0,,Charles Napoleon Brumm
6640,Brundidge,Stephen,,M,rep,Democrat,AR,2.0,,Stephen Brundidge
6643,Burton,Hiram,Rodney,M,rep,Republican,DE,0.0,,Hiram Rodney Burton
6644,Caldwell,Ben,Franklin,M,rep,Democrat,IL,21.0,,Ben Franklin Caldwell
6645,Cale,Thomas,,M,rep,Independent,AK,0.0,,Thomas Cale
6646,Cassel,Henry,Burd,M,rep,Republican,PA,9.0,,Henry Burd Cassel
6647,Caulfield,Henry,Stewart,M,rep,Republican,MO,11.0,,Henry Stewart Caulfield
6648,Chaney,John,Crawford,M,rep,Republican,IN,2.0,,John Crawford Chaney
6649,Conner,James,Perry,M,rep,Republican,IA,10.0,,James Perry Conner
6650,Cook,George,Washington,M,rep,Republican,CO,-1.0,,George Washington Cook
6651,Cooper,Samuel,Bronson,M,rep,Democrat,TX,2.0,,Samuel Bronson Cooper
6652,Cousins,Robert,Gordon,M,rep,Republican,IA,5.0,,Robert Gordon Cousins
6654,Crawford,William,Thomas,M,rep,Democrat,NC,10.0,,William Thomas Crawford
6656,Darragh,Archibald,Bard,M,rep,Republican,MI,11.0,,Archibald Bard Darragh
6657,Davey,Robert,Charles,M,rep,Democrat,LA,2.0,,Robert Charles Davey
6659,Dawes,Beman,Gates,M,rep,Republican,OH,15.0,,Beman Gates Dawes
6662,Dunwell,Charles,Tappan,M,rep,Republican,NY,3.0,,Charles Tappan Dunwell
6664,Foster,John,Hopkins,M,rep,Republican,IN,1.0,,John Hopkins Foster
6667,Fulton,Elmer,Lincoln,M,rep,Democrat,OK,2.0,,Elmer Lincoln Fulton
6668,Gaines,John,Wesley,M,rep,Democrat,TN,6.0,,John Wesley Gaines
6670,Gilhams,Clarence,Chauncey,M,rep,Republican,IN,12.0,,Clarence Chauncey Gilhams
6671,Granger,Daniel,Larned Davis,M,rep,Democrat,RI,1.0,,Daniel Larned Davis Granger
6673,Hackett,Richard,Nathaniel,M,rep,Democrat,NC,8.0,,Richard Nathaniel Hackett
